info,title,link,desc
"
        
  
  Tango / 中信出版社 / 2014-1-1 / 32.00

      ","

    睡不着：Tango一日一画


    

  ",https://book.douban.com/subject/25775445/,"除了音乐和文字，还有什么能让你感到轻松喜悦，嘴角上扬的？
新浪微博红人TANGO三年来夜夜一幅幽默画，陪伴无数睡不着的人度过无眠之夜。
源源不断的创意和坚持... "

"
        
  
  吴淼 / 接力出版社 / 2007 / 26.00元

      ","

    塔希里亚故事集


    

  ",https://book.douban.com/subject/2334065/,"在这个被虚构出来的、气势磅礴的塔然里亚世界中，生存着一群智慧的强者；法师、巨龙、精灵、矮人……
他们生存着、战斗着、恋爱着、思考着……生的意义何在？死后去向... "

"
        
  
  Brian Bolland、Howard Chaykin、Chuck Dixon、Neil Gaiman、Archie Goodwin、Andrew Helfer、Klaus Janson、Joe Kubert、Dennis O'Neil、Katsuhiro Otomo、Simon Bisley、Bob Kane / DC Comics / 1999-07 / USD 39.95

      ","

    Batman: Black and White Vol. 1


    

  ",https://book.douban.com/subject/1900850/,"In 1996, DC Comics published the groundbreaking miniseries Batman: Black and W... "

"
        
  
  [法] 巴斯蒂安·维韦斯 / 张鑫佳 / 北京联合出版公司·后浪出版公司 / 2016-4 / 88.00元

      ","

    氯的滋味


    

  ",https://book.douban.com/subject/26695177/,"一段浅尝辄止的水中情缘
如同泳池里氯的滋味般持久不散
2009年法国安古兰国际漫画节新人奖作品
...................
※编辑推荐※
☆ 天... "

"
        
  
  [法] 艾蒂安·达沃多 / 李喻雪 / 北京联合出版公司·后浪出版公司 / 2016-12 / 99.80元

      ","

    酝酿之道


    
      ",https://book.douban.com/subject/26909607/,一个印张是什么概念？什么是“生物动力法”葡萄酒？一本书的创作过程中编辑能决定些什么？风土和土壤怎样影响一款酒的品质？如何看待著名酒评人帕克和他的葡萄酒评分体... 

"
        
  
  [美]莉兹•克里莫 / 周高逸 / 雅众文化/天津人民出版社 / 2015-8 / 39.00元

      ","

    你今天真好看


    

  ",https://book.douban.com/subject/26602392/,《你今天真好看》是一本清新暖萌的漫画集，收录了莉兹•克里莫150多张逗趣漫画。书中集结了所有你能想到的各种萌物，恐龙、棕熊、兔子、企鹅，甚至还有伞蜥、獾、土... 

"
        
  
  [美] 尼尔·盖曼（Neil Gaiman）编、迈克·德林根贝格（Mike Dringenberg） 等绘 / 韩钢 / 北京联合出版公司·后浪出版公司 / 2016-12 / 128.00元

      ","

    睡魔2：玩偶之家


    

  ",https://book.douban.com/subject/26895508/,"《美国众神》《坟场之书》《星尘》作者、奇幻大师尼尔·盖曼成名力作
世界奇幻奖、艾斯纳奖、安古兰获奖作品
IGN首佳漫画、《纽约时报》畅销书榜
《娱乐周刊》“... "

"
        
  
  王XX / 雅众文化 / 云南人民出版社 / 2017-1 / 49.80

      ","

    喜欢我也没关系


    

  ",https://book.douban.com/subject/26924424/,"【内容推荐】
一本你捧起来就舍不得放下的漫画故事集，读完会笑，笑完会被治愈。
在这本漫画里，主角海豹和小章鱼、海牛住在一起。无论是吃东西、在沙发上睡觉，抑或... "

"
        
  
  [德]延斯·哈德（Jens Harder） / 王遥路、陈亮 / 北京联合出版公司 / 2015-4 / 188.00元

      ","

    万物：创世


    

  ",https://book.douban.com/subject/26314627/,"一部来自人类智识又挑战人类智识上限的野心之作
“漫画宇宙史”三部曲震撼开篇之作
2000多幅手绘漫画诠释140亿年宇宙进化史
···
※编辑推荐※
☉ 荣获... "

"
        
  
  [西]胡安·卡纳莱斯（Juan Díaz Canales） 文、胡安霍·瓜尔尼多（Juanjo Guarnido） 图 / 赵心舒 / 北京联合出版公司·后浪出版公司 / 2015-6 / 68.00元

      ","

    黑猫侦探 I：阴影之间


    

  ",https://book.douban.com/subject/26369210/,"这是1950年的纽约：
爵士乐、烟草和浮华的世界
这是智勇双全的私家侦探：
他爱猫，他有九条命；
他不爱喝牛奶，他烟不离手；
他没有抑郁症，他有幽默感：
…... "

"
        
  
  [德] 埃·奥·卜劳恩 绘 / 杨莹 / 中国工人出版社 / 2003-4 / 20.00元

      ","

    父与子全集


    

  ",https://book.douban.com/subject/1002898/,"²内容简介²
1934年12月，第二次世界大战前夜的德国，到处充满了火药味，正是在这样的一个背景下，一套取材于日常生活反映父子间感情的漫画作品开始在《柏林画... "

"
        
  
  王溥 / 中国友谊出版公司 / 2016-1-1 / 45.00

      ","

    一品芝麻狐


    

  ",https://book.douban.com/subject/26684198/,"《一品芝麻狐》是韩寒、姚晨、叫兽易小星诚意安利的超萌超温暖治愈的漫画书，新浪微博超火爆的连载漫画作品，为你吹散心中的雾霾。
在举世瞩目的英雄故事背后，一只想... "

"
        
  
  [美]阿兰·摩尔 / 王周凌 / 世界图书出版社 / 2014-9-1 / CNY 68.00

      ","

    守望者 下


    

  ",https://book.douban.com/subject/25907864/,《守望者》不论在漫画界与主流媒体都备受赞誉，被视为漫画中的经典作品。《守望者》是美国《时代周刊》2005年评选出的“1923年至今百部最佳英文小说”之一，同... 

"
        
  
  夏达 / 新世纪出版社 / 2009年12月 / RMB36.00

      ","

    子不语(1,2)


    

  ",https://book.douban.com/subject/4188697/,"实力派人气漫画家夏达第五届金龙奖最佳少女漫画优胜作品！收录《子不语》第1回至第8回的完整剧情，并收录一则番外篇《虎》。0
《子不语》讲述了9岁的小语跟随父母... "

"
        
  
  夏达 编绘 / 新世纪出版社 / 2010-7 / 18.00元

      ","

    子不语3


    

  ",https://book.douban.com/subject/4934332/,"愿言配德兮，携手相将。不得于飞兮，使我沦亡。回忆绵长，记忆铭刻，一丝丝地加深着小语与麟趾镇之间的羁绊。
忘川引渡，冬日飞花，妖鼬之恨，仙鹤离殇，那些悲欢离合... "

"
        
  
  [西] 胡安·迪亚兹·卡纳莱斯 文、胡安霍·瓜尔尼多 绘 / 赵心舒 / 北京联合出版公司·后浪出版公司 / 2017-2 / 68.00元

      ","

    黑猫侦探 Ⅳ：缄默地狱


    
      ",https://book.douban.com/subject/26906382/,"新生代欧漫经典
媲美《疯狂动物城》的动物拟人漫画
《黑猫侦探》系列迄今巅峰之作
...................
※编辑推荐※
蓝，是自由的颜色，也是... "

"
        
  
  藤子・F・不二雄 / 碧日 / 吉林美术出版社 / 1999-12-01 / 8.00

      ","

    机器猫哆啦A梦23


    

  ",https://book.douban.com/subject/1204889/,这是一套关于机器猫“小叮当”的非常有趣的动画故事集。本册是其中之一。小朋友们不要错过哟！ 

"
        
  
  真臣レオン / 星雲社 / 2015-10-19 / JPY 700

      ","

    僧侶と交わる色欲の夜に…2


    

  ",https://book.douban.com/subject/26638436/,

"
        
  
  [美] 克里斯·韦尔 / 陈鼐安 / 新星出版社 / 2015-11 / 89.00元

      ","

    吉米·科瑞根


    
      ",https://book.douban.com/subject/26577096/,"“你看完这本书大致需要五小时，约莫等于我和我的父亲曾经相处时间的总和。”——克里斯·韦尔
这是一本经典的成人绘本，也可称为“图像小说”。英国《卫报》“第一本... "

"
        
  
  Stan Lee、John Buscema / Touchstone / 1984-9-14 / USD 16.95

      ","

    How To Draw Comics The Marvel Way


    

  ",https://book.douban.com/subject/1990129/,"Stan Lee, the Mighty Man from Marvel, and John Buscema, active and adventureso... "

"
        
  
  藤子A熊 / 逼鲁 / 萤火虫 / 2005-8-10 / 110NT

      ","

    激色猫小叮当


    
      ",https://book.douban.com/subject/19963546/,

"
        
  
  [西] 胡安·卡纳莱斯（Juan Díaz Canales） 文、胡安霍·瓜尔尼多（Juanjo Guarnido） 图 / 赵心舒 / 北京联合出版公司·后浪出版公司 / 2016-5 / 68.00元

      ","

    黑猫侦探 III：红色灵魂


    

  ",https://book.douban.com/subject/26779251/,"新生代欧漫经典之作
媲美《疯狂动物城》的动物拟人作品
核战危机中，黑猫侦探再次出击！

...................
※编辑推荐※
☆ 新生代欧漫... "

"
        
  
  Tango / 重庆大学出版社 / 2015-8 / 39.80元

      ","

    别做梦了


    
      ",https://book.douban.com/subject/26589018/,"漫画是Tango的“白日梦”，也是他排解寂寞的方式，观察世界的方式。
本书是漫画家Tango和设计师杨林青首次合作，从其2010-2015，5年间的1500... "

"
        
  
  (美)阿兰·摩尔、大卫·劳埃德 / Darth-Nr6、洌月 / 世界图书出版公司 / 2013-12-1 / 75.00元

      ","

    V字仇杀队


    

  ",https://book.douban.com/subject/25733467/,"这是未来的伦敦，这是一个普通的夜晚：游荡街头的艾薇·哈蒙德撞上心怀不轨的秘密警察。
这是颠覆的遭遇，这是一个奇怪的男子：披着斗篷、头顶高帽，戴着伪善笑容的面... "

"
        
  
  [西]胡安·卡纳莱斯（Juan Díaz Canales） 文、胡安霍·瓜尔尼多（Juanjo Guarnido） 图 / 赵心舒 / 北京联合出版公司·后浪出版公司 / 2015-12 / 68.00元

      ","

    黑猫侦探 II：极寒之国


    

  ",https://book.douban.com/subject/26603439/,"新生代欧漫最经典作品
.....................
※编辑推荐※
★ 新生代欧漫最经典作品：《黑猫侦探》系列于2000年问世，甫一上市便获得了... "

"
        
  
  鳄鱼日记本 / 百花洲文艺出版社 / 2017-3 / 39.8

      ","

    你喜欢的样子我都有


    

  ",https://book.douban.com/subject/26980929/,"百万粉丝催更，漫画界“泥石流”、魔性画风开创者@鳄鱼日记本 爆笑减压漫画集！
《你喜欢的样子我都有》是人气漫画家鳄鱼日记本首部爆笑减压漫画集，集恋爱情趣与生... "

"
        
  
  井上雄彥 / 天下出版有限公司 / HK$30.00

      ","

    浪客行 (Vol. 01)


    
      ",https://book.douban.com/subject/2065597/,"全情演繹宮本武藏，《男兒當入樽》作者井上雄彥又一鉅著！
十七歲的武藏及其友人本位田又八一起離開作州出征。可是，軍隊戰敗了，而二人僥倖生存，為了保住性命，二人... "

"
        
  
  [日] 井上雄彦 / 邹宁 / 长春出版社 / 2005-1 / 7.50元

      ","

    灌篮高手31


    

  ",https://book.douban.com/subject/1221515/,《灌篮高手》又名《篮球飞人》，故事讲述高一学生樱木花道在国中时被50位他心仪的女孩子拒绝了，因第50个女生的一句“我喜欢的是篮球队的小田同学。”而对篮球深恶... 

"
        
  
  [法]尤安·史法 绘著 / 张怡 / 生活·读书·新知三联书店 / 2016-10 / 120.00

      ","

    拉比的猫（全两册）


    

  ",https://book.douban.com/subject/26987885/,在阿尔及利亚首都阿尔及尔平静的小镇上，犹太拉比史法家的猫吃掉了一只鹦鹉，并因此拥有了说话及思考的能力。以这只会说话会思考的猫的角度，作者理性、深刻又不失幽默... 

"
        
  
  松武 / 但不、在于 / 晨星出版社 / 2011 / NT.110

      ","

    大叔上等


    
      ",https://book.douban.com/subject/5949213/,"两情相悦的岸和田跟五领，虽然喜欢着彼此，但不知道对方的心意，只好每天想着对方与厕所「相好」。直到有一天，五领突然晕倒了…
本书收入除标题作外，共六个系列，充... "

"
        
  
  [意] 雨果·普拉特(Hugo Pratt) / 闫心悦、欧阳情 / 后浪丨北京联合出版公司 / 2017-1 / 128.00元

      ","

    七海游侠：盐海传奇


    

  ",https://book.douban.com/subject/26827227/,"殿堂级大师雨果·普拉特代表作品
将漫画提升至“第九艺术”的经典
...................
※编辑推荐※
畅销五十载重量级欧漫
《丁丁历险记》齐... "

"
        
  
  [美] 阿特·斯皮格曼 / 王之光 / 陕西师范大学出版社 / 2009-12 / 52.00元

      ","

    鼠族（一、二部）


    

  ",https://book.douban.com/subject/4075203/,"史上惟一获得过普利策奖的漫画作品
当记忆陈旧的阀门被打开，显露的，仍是无法直面的黑暗…
中年漫画作家斯皮格曼生于二战后的美国，尽管声名显赫，却有着不为人道的... "

"
        
  
  [美] 麦克劳德 / 万旻 / 人民邮电出版社 / 2010-4 / 49.00元

      ","

    理解漫画


    

  ",https://book.douban.com/subject/4727293/,这是一本向大众普及漫画艺术的入门教学用书，书中作者通过形象化的角色带领我们一步步地认识漫画中的各种元素。《理解漫画》内容系统详尽，介绍了漫画中图形符号的应用... 

"
        
  
  二混子 / 江苏凤凰文艺出版社 / 2017-4-10 / 39.90元

      ","

    半小时漫画中国史


    

  ",https://book.douban.com/subject/27003014/,"看半小时漫画，通三千年历史，脉络无比清晰，看完就能倒背。
仅仅通过手绘和段子，二混子就捋出清晰的历史大脉络：春秋战国像个班级、大秦过把瘾就死、三国就三大战役... "

"
        
  
  埃尔热 / 中国少年儿童出版社 / 2001-04-01 / 264.0

      ","

    丁丁历险记（共22本）


    

  ",https://book.douban.com/subject/1540211/,"《丁丁在刚果》、
《丁丁在美洲》、
《法老的雪茄》、
《蓝莲花》、
《破损的耳朵》、
《黑岛》、
《奥托卡王的权杖》、
《金钳螃蟹贩毒集团》、
《神秘的流星... "

"
        
  
  [比利时] 冯索瓦·史奇顿、François Shuiten / 任可心 / 后浪丨北京联合出版公司 / 2017-4 / 99.80元

      ","

    蒸汽火车头


    

  ",https://book.douban.com/subject/26958895/,《蒸汽火车头》是比利时天才艺术家冯索瓦·史奇顿追忆蒸汽时代机械之美的一部漫画。他通过这部图像小说表达了对当时设计师才华的赞美之情和辛勤工作的铁道工人的钦佩之... 

"
        
  
  真臣レオン / 星雲社 / 2015-6-19 / JPY 700

      ","

    僧侶と交わる色欲の夜に…


    

  ",https://book.douban.com/subject/26638435/,

"
        
  
  陈缘风 / 长江文艺出版社 / 2017-3-1 / 45.00元

      ","

    和女儿的日常


    

  ",https://book.douban.com/subject/26988950/,"《和女儿的日常》是著名动漫形象张小盒的主笔陈缘风*创作的一部温情漫画故事集，用图片与照片共同讲述了陈缘风与自己女儿之间众多或幽默、或温情的生活故事。
书中记... "

"
        
  
  [美] 艾德·布鲁贝克  格雷格·卢卡 编、迈克尔·拉克 绘 / 肖恩 / 后浪丨北京联合出版公司 / 2017-1 / 90.00元

      ","

    哥谭重案组1：分内之事


    

  ",https://book.douban.com/subject/26905143/,"在蝙蝠侠的阴影下，做一名哥谭警察，并不容易
...................
※编辑推荐※
☆ 被誉为“最佳蝙蝠侠系列漫画”的经典作品
☆ 美国漫画最... "

"
        
  
  [美]肖恩·豪 / 苏健 / 浙江人民出版社 / 2017-2-15 / 89.90元

      ","

    漫威宇宙


    

  ",https://book.douban.com/subject/26909782/,自20世纪30年代马丁·古德曼进入漫画行业后，漫威就开始了近80年的故事接龙。在这个可能是人类有史以来最为漫长的故事中，漫威成功打造出了一个具有超强场效应的... 

"
        
  
  [日] 矢泽爱 / 内蒙古人民出版社 / 2005-9 / 84.50元

      ","

    NANA（1-13）


    

  ",https://book.douban.com/subject/1474842/,

"
        
  
  [英] 马克·米勒、[美] 亚当·库伯特 / 洌月 / 世界图书出版公司 / 2017-3-15 / 88.00元

      ","

    终极X战警2


    

  ",https://book.douban.com/subject/26986928/,"击败万磁王后，X战警即将面临新的挑战，伴随着来自过去的阴影……

年轻的X战警刚刚踏上全球演说之旅，教授的一个秘密却昭然若揭。在创立变种人学院之前，教授抛弃... "

"
        
  
  一汪空气 / 中国友谊出版公司 / 2016-5-1 / 45.00

      ","

    非人哉


    

  ",https://book.douban.com/subject/26775078/,"这是一本脑洞大开的漫画书，新浪微博超萌超火爆的连载作品，上百万粉丝疯狂追更，笑点密集，萌点爆棚，白茶、使徒子、幽·灵 诚意推荐。
《非人哉》讲述了一群中国神... "

"
        
  
  [美] 罗伯特·柯克曼 著、[美] 保罗·阿萨塞塔 绘 / 三叶 / 世界图书出版公司 / 2017-1 / 48.00元

      ","

    驱魔浪人1


    
      ",https://book.douban.com/subject/26909780/,"凯尔•伯恩斯一生受到恶魔附身事件所苦，现在他要找出答案。不幸的是，他所查明的真相将颠覆我们对这个世界上生命的认知。
本书收录由柯克曼和阿萨塞塔所创作的《驱魔... "

